region,country,prosperity_2020,protesterviolence,partipants_number,pop_density,pop_total,labor_wage_dispute,land_farm_issue,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,arrests,accomodation,beatings,crowddispersal,ignore,killings,shootings,protest_duration,violent_response,violent_count
MENA,Yemen,31.8686303144,32.0,3219450,6910.729999999996,3648651.466999995,4,2,17,122,17,64,6,9,11,6,44,67,36,52,282,59,94
North America,Canada,79.819702831,13.0,621520,190.79100000000005,1734949.4479999994,8,7,7,27,4,0,3,13,6,0,9,30,1,2,629,2,3
North America,Cuba,53.3184160468,1.0,8150,10530.984000000019,1120917.015,1,0,0,97,0,55,1,42,0,2,3,55,0,0,99,2,2
North America,Dominican Republic,58.704805963999995,28.0,549000,13399.338000000014,647455.5319999997,4,0,4,52,18,0,1,16,4,3,18,40,5,15,93,16,23
North America,Haiti,39.2808751002,65.0,202010,42010.19100000005,1157800.600999999,5,1,13,77,9,38,2,11,9,6,43,60,6,20,203,25,32
North America,Jamaica,59.937927349700004,10.0,12650,7038.110000000002,76222.73400000003,4,0,13,6,5,0,0,3,3,0,9,15,2,4,121,4,6
North America,Mexico,59.526484931800006,38.0,3748990,8267.849999999995,16072262.625999996,13,4,19,121,4,6,7,11,23,2,21,103,8,8,805,11,18
Oceania,Papua New Guinea,46.0652031188,12.0,32939,537.5360000000001,243427.34499999997,4,2,6,21,0,6,0,1,14,0,12,17,2,3,121,3,5
South America,Argentina,60.48735450229999,28.0,3882175,1605.714000000001,4394340.9250000045,17,0,9,75,11,3,7,14,19,3,30,74,1,2,434,5,6
South America,Bolivia,52.2758643751,58.0,784439,1185.6249999999989,1284389.3759999978,23,6,6,98,11,17,5,21,43,3,62,70,11,12,1066,21,26
South America,Brazil,59.3074818941,39.0,7874639,5032.830999999998,42065033.86400004,45,5,8,155,17,26,1,16,20,2,64,143,8,5,618,12,15
South America,Chile,68.3926772306,46.0,2267425,3735.4129999999973,2777414.241000002,38,4,1,145,23,0,5,71,9,1,83,62,4,1,1021,5,6
South America,Colombia,58.193130523,14.0,10830600,5119.856999999999,5680480.0320000015,21,3,3,122,4,0,1,2,11,1,37,93,9,2,667,12,12
South America,Ecuador,56.1173741658,36.0,1248081,8593.581000000006,2134298.775,23,4,1,108,31,3,2,19,19,1,74,61,12,2,740,15,15
South America,Guyana,55.8717005949,15.0,29666,134.052,26388.093999999994,3,0,4,22,4,3,2,8,8,2,19,16,3,6,161,8,11
South America,Paraguay,57.4686773884,6.0,264150,949.2019999999997,377117.818,5,2,1,61,2,2,2,4,4,0,17,44,2,0,137,2,2
South America,Peru,60.667147901499995,28.0,2130905,3527.1829999999973,4514792.0969999945,27,7,4,139,9,0,2,14,12,2,51,92,13,1,812,13,16
South America,Suriname,57.1051445971,6.0,155885,154.60800000000003,24118.736999999986,20,0,0,27,7,0,0,1,11,0,3,36,0,0,322,0,0
South America,Uruguay,68.2411434237,2.0,358150,1268.7279999999996,222053.49599999996,24,0,1,47,0,0,1,1,5,0,1,61,0,0,195,0,0
South America,Venezuela,42.0857254891,79.0,16931820,9131.517000000003,8054473.247999996,56,2,30,229,38,21,5,40,24,9,120,161,23,20,1030,37,52
